Iteration,ReplicaIndex,Temperature,Energy,SAP
38,4,5.17947,36661.5,NA
38,5,13.895,37239.6,NA
38,6,37.2759,37431.6,NA
38,7,100,38901.9,NA
39,0,0.1,35906.7,NA
39,1,0.26827,36095.1,NA
39,2,0.719686,35682.8,NA
39,3,1.9307,36421.3,NA
39,4,5.17947,36661.5,NA
39,5,13.895,36963.5,NA
39,6,37.2759,37239.6,NA
39,7,100,38711.8,NA
40,0,0.1,35906.7,NA
40,1,0.26827,35682.8,NA
40,2,0.719686,36095.1,NA
40,3,1.9307,36325.1,NA
40,4,5.17947,36661.5,NA
40,5,13.895,36963.5,NA
40,6,37.2759,37239.6,NA
40,7,100,37904.7,NA
41,0,0.1,35671,NA
41,1,0.26827,35615,NA
41,2,0.719686,35906.7,NA
41,3,1.9307,36325.1,NA
41,4,5.17947,36621.5,NA
41,5,13.895,36740.6,NA
41,6,37.2759,36963.5,NA
41,7,100,37904.7,NA
42,0,0.1,35615,NA
42,1,0.26827,35671,NA
42,2,0.719686,35906.7,NA
42,3,1.9307,36325.1,NA
42,4,5.17947,36337.5,NA
42,5,13.895,36740.6,NA
42,6,37.2759,36963.5,NA
42,7,100,37904.7,NA
43,0,0.1,35615,NA
43,1,0.26827,35671,NA
43,2,0.719686,35906.7,NA
43,3,1.9307,36325.1,NA
43,4,5.17947,36337.5,NA
43,5,13.895,36437.9,NA
43,6,37.2759,36934.8,NA
43,7,100,37904.7,NA
44,0,0.1,35615,NA
44,1,0.26827,35671,NA
44,2,0.719686,35693.8,NA
44,3,1.9307,36325.1,NA
44,4,5.17947,36337.5,NA
44,5,13.895,36399.9,NA
44,6,37.2759,36934.8,NA
44,7,100,37783.4,NA
45,0,0.1,34823.5,NA
45,1,0.26827,35615,NA
45,2,0.719686,35693.8,NA
45,3,1.9307,36238.7,NA
45,4,5.17947,36277.2,NA
45,5,13.895,36325.1,NA
45,6,37.2759,36934.8,NA
45,7,100,37783.4,NA
46,0,0.1,34823.5,NA
46,1,0.26827,35615,NA
46,2,0.719686,35693.8,NA
46,3,1.9307,36182.5,NA
46,4,5.17947,36277.2,NA
46,5,13.895,36365,NA
46,6,37.2759,36934.8,NA
46,7,100,37783.4,NA
47,0,0.1,34823.5,NA
47,1,0.26827,35504,NA
47,2,0.719686,35693.8,NA
47,3,1.9307,36182.5,NA
47,4,5.17947,36252.1,NA
47,5,13.895,36365,NA
47,6,37.2759,36934.8,NA
47,7,100,38243,NA
48,0,0.1,34823.5,NA
48,1,0.26827,35106.1,NA
48,2,0.719686,35430.3,NA
48,3,1.9307,36161.2,NA
48,4,5.17947,35928.3,NA
48,5,13.895,36182.5,NA
48,6,37.2759,36934.8,NA
48,7,100,37828.2,NA
49,0,0.1,34823.5,NA
49,1,0.26827,34995.7,NA
49,2,0.719686,35430.3,NA
49,3,1.9307,35928.3,NA
49,4,5.17947,36013,NA
49,5,13.895,36015,NA
49,6,37.2759,36934.8,NA
49,7,100,37750.7,NA
50,0,0.1,34823.5,NA
50,1,0.26827,34995.7,NA
50,2,0.719686,35430.3,NA
50,3,1.9307,35928.3,NA
50,4,5.17947,36013,NA
50,5,13.895,36015,NA
50,6,37.2759,36949.5,NA
50,7,100,37772.6,NA
51,0,0.1,34823.5,NA
51,1,0.26827,34829.2,NA
51,2,0.719686,35430.3,NA
51,3,1.9307,35888.4,NA
51,4,5.17947,35229.7,NA
51,5,13.895,36013,NA
51,6,37.2759,36949.5,NA
51,7,100,37850.1,NA
52,0,0.1,34712.5,NA
52,1,0.26827,34829.2,NA
52,2,0.719686,35430.3,NA
52,3,1.9307,35229.7,NA
52,4,5.17947,35642.3,NA
52,5,13.895,36013,NA
52,6,37.2759,36949.5,NA
52,7,100,37850.1,NA
53,0,0.1,34712.5,NA
53,1,0.26827,34829.2,NA
53,2,0.719686,35229.7,NA
53,3,1.9307,35430.3,NA
53,4,5.17947,35642.3,NA
53,5,13.895,36013,NA
53,6,37.2759,37074.4,NA
53,7,100,37731.6,NA
54,0,0.1,34712.5,NA
54,1,0.26827,34829.2,NA
54,2,0.719686,35229.7,NA
54,3,1.9307,35430.3,NA
54,4,5.17947,35642.3,NA
54,5,13.895,36013,NA
54,6,37.2759,37074.4,NA
54,7,100,37863.9,NA
55,0,0.1,34712.5,NA
55,1,0.26827,34829.2,NA
55,2,0.719686,35229.7,NA
55,3,1.9307,35430.3,NA
55,4,5.17947,35642.3,NA
55,5,13.895,36013,NA
55,6,37.2759,37074.4,NA
55,7,100,38132.5,NA
56,0,0.1,34712.5,NA
56,1,0.26827,34829.2,NA
56,2,0.719686,35229.7,NA
56,3,1.9307,35430.3,NA
56,4,5.17947,35488.7,NA
56,5,13.895,36013,NA
56,6,37.2759,37074.4,NA
56,7,100,38132.5,NA
57,0,0.1,34712.5,NA
57,1,0.26827,34829.2,NA
57,2,0.719686,35229.7,NA
57,3,1.9307,35430.3,NA
57,4,5.17947,35488.7,NA
57,5,13.895,36013,NA
57,6,37.2759,37074.4,NA
57,7,100,38110.6,NA
58,0,0.1,34378.9,NA
58,1,0.26827,34829.2,NA
58,2,0.719686,35229.7,NA
58,3,1.9307,35430.3,NA
58,4,5.17947,35489.6,NA
58,5,13.895,36013,NA
58,6,37.2759,37074.4,NA
58,7,100,38110.6,NA
59,0,0.1,34378.9,NA
59,1,0.26827,34734.4,NA
59,2,0.719686,35229.7,NA
59,3,1.9307,35430.3,NA
59,4,5.17947,35489.6,NA
59,5,13.895,36013,NA
59,6,37.2759,37074.4,NA
59,7,100,38110.6,NA
60,0,0.1,34378.9,NA
60,1,0.26827,34583.3,NA
60,2,0.719686,35229.7,NA
60,3,1.9307,35430.3,NA
60,4,5.17947,35489.6,NA
60,5,13.895,36013,NA
60,6,37.2759,37074.4,NA
60,7,100,38231.8,NA
61,0,0.1,34378.9,NA
61,1,0.26827,34583.3,NA
61,2,0.719686,35229.7,NA
61,3,1.9307,35430.3,NA
61,4,5.17947,35489.6,NA
61,5,13.895,36013,NA
61,6,37.2759,37074.4,NA
61,7,100,38231.8,NA
62,0,0.1,34378.9,NA
62,1,0.26827,34583.3,NA
62,2,0.719686,35204.6,NA
62,3,1.9307,35430.3,NA
62,4,5.17947,35489.6,NA
62,5,13.895,36013,NA
62,6,37.2759,37074.4,NA
62,7,100,38186.6,NA
63,0,0.1,34378.9,NA
63,1,0.26827,34583.3,NA
63,2,0.719686,35204.6,NA
63,3,1.9307,35430.3,NA
63,4,5.17947,35489.6,NA
63,5,13.895,36013,NA
63,6,37.2759,36799.1,NA
63,7,100,38065.4,NA
64,0,0.1,34378.9,NA
64,1,0.26827,34583.3,NA
64,2,0.719686,35204.6,NA
64,3,1.9307,35430.3,NA
64,4,5.17947,35489.6,NA
64,5,13.895,36013,NA
64,6,37.2759,36799.1,NA
64,7,100,37214,NA
65,0,0.1,34378.9,NA
65,1,0.26827,34583.3,NA
65,2,0.719686,34953.2,NA
65,3,1.9307,35430.3,NA
65,4,5.17947,35489.6,NA
65,5,13.895,36013,NA
65,6,37.2759,36674.2,NA
65,7,100,37302.6,NA
66,0,0.1,34378.9,NA
66,1,0.26827,34583.3,NA
66,2,0.719686,34953.2,NA
66,3,1.9307,35430.3,NA
66,4,5.17947,35489.6,NA
66,5,13.895,35840.9,NA
66,6,37.2759,36634.2,NA
66,7,100,36942.6,NA
67,0,0.1,34378.9,NA
67,1,0.26827,34408.4,NA
67,2,0.719686,34750.5,NA
67,3,1.9307,34953.2,NA
67,4,5.17947,35489.6,NA
67,5,13.895,35840.9,NA
67,6,37.2759,36634.2,NA
67,7,100,37080.8,NA
68,0,0.1,34378.9,NA
68,1,0.26827,34408.4,NA
68,2,0.719686,34666.7,NA
68,3,1.9307,34953.2,NA
68,4,5.17947,35489.6,NA
68,5,13.895,35840.9,NA
68,6,37.2759,36634.2,NA
68,7,100,37299.4,NA
69,0,0.1,34378.9,NA
69,1,0.26827,34408.4,NA
69,2,0.719686,34666.7,NA
69,3,1.9307,34953.2,NA
69,4,5.17947,35489.6,NA
69,5,13.895,35840.9,NA
69,6,37.2759,36593.9,NA
69,7,100,37299.4,NA
70,0,0.1,34378.9,NA
70,1,0.26827,34408.4,NA
70,2,0.719686,34666.7,NA
70,3,1.9307,34953.2,NA
70,4,5.17947,35270.2,NA
70,5,13.895,35840.9,NA
70,6,37.2759,36593.9,NA
70,7,100,37299.4,NA
71,0,0.1,34378.9,NA
71,1,0.26827,34408.4,NA
71,2,0.719686,34666.7,NA
71,3,1.9307,34953.2,NA
71,4,5.17947,35270.2,NA
71,5,13.895,35840.9,NA
71,6,37.2759,36525.5,NA
71,7,100,37157.6,NA
72,0,0.1,34378.9,NA
72,1,0.26827,34382.7,NA
72,2,0.719686,34408.4,NA
72,3,1.9307,34953.2,NA
72,4,5.17947,35166.9,NA
72,5,13.895,35840.9,NA
72,6,37.2759,36525.5,NA
72,7,100,36985.9,NA
73,0,0.1,34378.9,NA
73,1,0.26827,34382.7,NA
73,2,0.719686,34408.4,NA
73,3,1.9307,34953.2,NA
73,4,5.17947,35166.9,NA
73,5,13.895,35840.9,NA
73,6,37.2759,36525.5,NA
73,7,100,36958.1,NA
74,0,0.1,34378.9,NA
74,1,0.26827,34341.2,NA
74,2,0.719686,34382.7,NA
74,3,1.9307,34871.6,NA
74,4,5.17947,35166.9,NA
74,5,13.895,35840.9,NA
74,6,37.2759,36565.9,NA
74,7,100,36919.2,NA
75,0,0.1,34341.2,NA
75,1,0.26827,34378.9,NA
75,2,0.719686,34382.7,NA
75,3,1.9307,34871.6,NA
75,4,5.17947,35056.5,NA
75,5,13.895,35381.6,NA
75,6,37.2759,36565.9,NA
75,7,100,36919.2,NA
76,0,0.1,34341.2,NA
76,1,0.26827,34378.9,NA
76,2,0.719686,34382.7,NA
76,3,1.9307,34871.6,NA
76,4,5.17947,35056.5,NA
76,5,13.895,35381.6,NA
76,6,37.2759,36619.2,NA
76,7,100,36565.9,NA
77,0,0.1,34341.2,NA
77,1,0.26827,34378.9,NA
77,2,0.719686,34382.7,NA
77,3,1.9307,34871.6,NA
77,4,5.17947,34970.1,NA
77,5,13.895,35056.5,NA
77,6,37.2759,36565.9,NA
77,7,100,36619.2,NA
78,0,0.1,34341.2,NA
78,1,0.26827,34378.9,NA
78,2,0.719686,34382.7,NA
78,3,1.9307,34871.6,NA
78,4,5.17947,34970.1,NA
78,5,13.895,35056.5,NA
78,6,37.2759,36525.5,NA
78,7,100,36619.2,NA
79,0,0.1,34341.2,NA
79,1,0.26827,34378.9,NA
79,2,0.719686,34382.7,NA
79,3,1.9307,34871.6,NA
79,4,5.17947,34970.1,NA
79,5,13.895,35056.5,NA
79,6,37.2759,36525.5,NA
79,7,100,36684.5,NA
80,0,0.1,34341.2,NA
80,1,0.26827,34378.9,NA
80,2,0.719686,34382.7,NA
80,3,1.9307,34871.6,NA
80,4,5.17947,34970.1,NA
80,5,13.895,35056.5,NA
80,6,37.2759,36525.5,NA
80,7,100,36974.8,NA
81,0,0.1,34341.2,NA
81,1,0.26827,34378.9,NA
81,2,0.719686,34382.7,NA
81,3,1.9307,34871.6,NA
81,4,5.17947,34970.1,NA
81,5,13.895,35056.5,NA
81,6,37.2759,36525.5,NA
81,7,100,36974.8,NA
82,0,0.1,34341.2,NA
82,1,0.26827,34378.9,NA
82,2,0.719686,34382.7,NA
82,3,1.9307,34871.6,NA
82,4,5.17947,34970.1,NA
82,5,13.895,35056.5,NA
82,6,37.2759,36525.5,NA
82,7,100,36945.3,NA
83,0,0.1,34341.2,NA
83,1,0.26827,34378.9,NA
83,2,0.719686,34382.7,NA
83,3,1.9307,34871.6,NA
83,4,5.17947,34936.8,NA
83,5,13.895,35056.5,NA
83,6,37.2759,36157.7,NA
83,7,100,36945.3,NA
84,0,0.1,34341.2,NA
84,1,0.26827,34378.9,NA
84,2,0.719686,34382.7,NA
84,3,1.9307,34871.6,NA
84,4,5.17947,34892.8,NA
84,5,13.895,35056.5,NA
84,6,37.2759,36157.7,NA
84,7,100,37083.1,NA
85,0,0.1,33953.6,NA
85,1,0.26827,34341.2,NA
85,2,0.719686,34382.7,NA
85,3,1.9307,34871.6,NA
85,4,5.17947,34892.8,NA
85,5,13.895,35056.5,NA
85,6,37.2759,36157.7,NA
85,7,100,37083.1,NA
86,0,0.1,33953.6,NA
86,1,0.26827,34341.2,NA
86,2,0.719686,34382.7,NA
86,3,1.9307,34871.6,NA
86,4,5.17947,34892.8,NA
86,5,13.895,35056.5,NA
86,6,37.2759,36157.7,NA
86,7,100,37148.3,NA
87,0,0.1,33953.6,NA
87,1,0.26827,34341.2,NA
87,2,0.719686,34382.7,NA
87,3,1.9307,34871.6,NA
87,4,5.17947,34892.8,NA
87,5,13.895,35056.5,NA
87,6,37.2759,36157.7,NA
87,7,100,37148.3,NA
88,0,0.1,33953.6,NA
88,1,0.26827,34341.2,NA
88,2,0.719686,34382.7,NA
88,3,1.9307,34871.6,NA
88,4,5.17947,34892.8,NA
88,5,13.895,35056.5,NA
88,6,37.2759,36157.7,NA
88,7,100,37148.3,NA
89,0,0.1,33953.6,NA
89,1,0.26827,34341.2,NA
89,2,0.719686,34382.7,NA
89,3,1.9307,34759,NA
89,4,5.17947,34892.8,NA
89,5,13.895,35056.5,NA
89,6,37.2759,36143.1,NA
89,7,100,37572.9,NA
90,0,0.1,33953.6,NA
90,1,0.26827,34341.2,NA
90,2,0.719686,34382.7,NA
90,3,1.9307,34759,NA
90,4,5.17947,34825.9,NA
90,5,13.895,34892.8,NA
90,6,37.2759,36168.2,NA
90,7,100,37686,NA
91,0,0.1,33953.6,NA
91,1,0.26827,34341.2,NA
91,2,0.719686,34382.7,NA
91,3,1.9307,34759,NA
91,4,5.17947,34825.9,NA
91,5,13.895,34892.8,NA
91,6,37.2759,36128.5,NA
91,7,100,37686,NA
92,0,0.1,33953.6,NA
92,1,0.26827,34341.2,NA
92,2,0.719686,34382.7,NA
92,3,1.9307,34759,NA
92,4,5.17947,34825.9,NA
92,5,13.895,34892.8,NA
92,6,37.2759,36128.5,NA
92,7,100,37274,NA
93,0,0.1,33953.6,NA
93,1,0.26827,34197.6,NA
93,2,0.719686,34382.7,NA
93,3,1.9307,34759,NA
93,4,5.17947,34825.9,NA
93,5,13.895,34892.8,NA
93,6,37.2759,36128.5,NA
93,7,100,37030.6,NA
94,0,0.1,33953.6,NA
94,1,0.26827,34197.6,NA
94,2,0.719686,34382.7,NA
94,3,1.9307,34694.6,NA
94,4,5.17947,34825.9,NA
94,5,13.895,34892.8,NA
94,6,37.2759,35953.7,NA
94,7,100,36128.5,NA
95,0,0.1,33953.6,NA
95,1,0.26827,34197.6,NA
95,2,0.719686,34382.7,NA
95,3,1.9307,34694.6,NA
95,4,5.17947,34825.9,NA
95,5,13.895,34892.8,NA
95,6,37.2759,35953.7,NA
95,7,100,36128.5,NA
96,0,0.1,33953.6,NA
96,1,0.26827,34197.6,NA
96,2,0.719686,34382.7,NA
96,3,1.9307,34694.6,NA
96,4,5.17947,34825.9,NA
96,5,13.895,34892.8,NA
96,6,37.2759,35640.1,NA
96,7,100,36207.8,NA
97,0,0.1,33953.6,NA
97,1,0.26827,34197.6,NA
97,2,0.719686,34382.7,NA
97,3,1.9307,34694.6,NA
97,4,5.17947,34825.9,NA
97,5,13.895,34892.8,NA
97,6,37.2759,35432.9,NA
97,7,100,36207.8,NA
98,0,0.1,33953.6,NA
98,1,0.26827,34197.6,NA
98,2,0.719686,34382.7,NA
98,3,1.9307,34694.6,NA
98,4,5.17947,34825.9,NA
98,5,13.895,34892.8,NA
98,6,37.2759,35432.9,NA
98,7,100,36207.8,NA
99,0,0.1,33953.6,NA
99,1,0.26827,34197.6,NA
99,2,0.719686,34382.7,NA
99,3,1.9307,34694.6,NA
99,4,5.17947,34825.9,NA
99,5,13.895,34892.8,NA
99,6,37.2759,35432.9,NA
99,7,100,36285.7,NA
100,0,0.1,33953.6,0.158416
100,1,0.266184,34197.6,0.217822
100,2,0.714092,34382.7,0.168317
100,3,1.91569,34694.6,0.138614
100,4,5.13922,34825.9,0.237624
100,5,14.003,34892.8,0.138614
100,6,36.9862,35432.9,0.108911
100,7,99.2228,36260.7,0
100,8,68.1045,35432.9,NA
101,0,0.1,33953.6,NA
101,1,0.266184,34197.6,NA
101,2,0.714092,34382.7,NA
101,3,1.91569,34694.6,NA
101,4,5.13922,34825.9,NA
101,5,14.003,34892.8,NA
101,6,36.9862,35460.2,NA
101,7,99.2228,36182.7,NA
101,8,68.1045,35432.9,NA
102,0,0.1,33953.6,NA
102,1,0.266184,34197.6,NA
102,2,0.714092,34382.7,NA
102,3,1.91569,34694.6,NA
102,4,5.13922,34825.9,NA
102,5,14.003,34892.8,NA
102,6,36.9862,35257.1,NA
102,7,99.2228,36182.7,NA
102,8,68.1045,35402.2,NA
103,0,0.1,33953.6,NA
103,1,0.266184,34197.6,NA
103,2,0.714092,34382.7,NA
103,3,1.91569,34694.6,NA
103,4,5.13922,34825.9,NA
103,5,14.003,34892.8,NA
103,6,36.9862,35257.1,NA
103,7,99.2228,36264.3,NA
103,8,68.1045,35402.2,NA
104,0,0.1,33953.6,NA
104,1,0.266184,34197.6,NA
104,2,0.714092,34382.7,NA
104,3,1.91569,34694.6,NA
104,4,5.13922,34825.9,NA
104,5,14.003,34892.8,NA
104,6,36.9862,35257.1,NA
104,7,99.2228,36264.3,NA
104,8,68.1045,35402.2,NA
105,0,0.1,33953.6,NA
105,1,0.266184,34197.6,NA
105,2,0.714092,34382.7,NA
105,3,1.91569,34694.6,NA
105,4,5.13922,34825.9,NA
105,5,14.003,34892.8,NA
105,6,36.9862,35257.1,NA
105,7,99.2228,36266.8,NA
105,8,68.1045,35402.2,NA
106,0,0.1,33953.6,NA
106,1,0.266184,34197.6,NA
106,2,0.714092,34382.7,NA
